date,attendance
10-Aug,"1,752,381"
10-Sep,"1,756,268"
10-Oct,"1,801,348"
10-Nov,"1,651,027"
10-Dec,"1,737,741"
11-Jan,"1,727,797"
11-Feb,"1,599,364"
11-Mar,"1,863,441"
11-Apr,"1,844,375"
11-May,"1,873,695"
11-Jun,"1,785,417"
11-Jul,"1,864,959"
11-Aug,"1,758,108"
11-Sep,"1,781,211"
11-Oct,"1,848,912"
11-Nov,"1,741,441"
11-Dec,"1,732,046"
12-Jan,"1,737,518"
12-Feb,"1,704,232"
12-Mar,"1,933,153"
12-Apr,"1,769,523"
12-May,"1,929,570"
12-Jun,"1,887,841"
12-Jul,"1,924,523"
12-Aug,"1,845,142"
12-Sep,"1,788,491"
12-Oct,"1,832,304"
12-Nov,"1,755,605"
12-Dec,"1,822,426"
13-Jan,"1,733,118"
13-Feb,"1,648,748"
13-Mar,"1,865,084"
13-Apr,"1,831,420"
13-May,"1,891,670"
13-Jun,"1,831,036"
13-Jul,"1,976,289"
13-Aug,"1,840,591"
13-Sep,"1,768,749"
13-Oct,"1,829,429"
13-Nov,"1,733,037"
13-Dec,"1,782,029"
14-Jan,"1,739,539"
14-Feb,"1,661,814"
14-Mar,"1,957,341"
14-Apr,"1,877,676"
14-May,"1,978,028"
14-Jun,"1,942,268"
14-Jul,"1,993,631"
14-Aug,"1,817,310"
14-Sep,"1,853,286"
14-Oct,"1,892,374"
14-Nov,"1,830,460"
14-Dec,"1,901,227"
15-Jan,"1,732,067"
15-Feb,"1,654,846"
15-Mar,"1,942,967"
15-Apr,"1,873,168"
15-May,"1,937,469"
15-Jun,"1,911,209"
15-Jul,"1,952,895"
15-Aug,"1,865,139"
15-Sep,"1,859,979"
15-Oct,"1,923,108"
15-Nov,"1,874,235"
15-Dec,"1,867,652"
16-Jan,"1,906,920"
16-Feb,"1,870,776"
16-Mar,"2,087,553"
16-Apr,"1,867,781"
16-May,"2,070,340"
16-Jun,"1,958,802"
16-Jul,"2,079,034"
16-Aug,"1,932,901"
16-Sep,"1,952,464"
16-Oct,"2,001,816"
16-Nov,"1,907,871"
16-Dec,"1,944,567"
17-Jan,"1,895,272"
17-Feb,"1,735,619"
17-Mar,"2,015,834"
17-Apr,"1,949,762"
17-May,"2,066,789"
17-Jun,"1,994,056"
17-Jul,"2,073,944"
17-Aug,"1,924,663"
17-Sep,"1,925,961"
17-Oct,"2,044,137"
17-Nov,"1,976,971"
17-Dec,"2,003,954"
18-Jan,"2,000,086"
18-Feb,"1,820,012"
18-Mar,"2,049,785"
18-Apr,"1,984,369"
18-May,"2,164,458"
18-Jun,"2,093,942"
18-Jul,"2,179,896"
18-Aug,"1,997,854"
18-Sep,"2,005,695"
18-Oct,"2,079,492"
18-Nov,"2,037,847"
18-Dec,"2,047,518"
19-Jan,"2,113,413"
19-Feb,"1,954,947"
19-Mar,"2,167,551"
19-Apr,"2,112,165"
19-May,"2,172,006"
19-Jun,"2,107,987"
19-Jul,"2,265,050"
19-Aug,"2,125,435"
19-Sep,"2,123,345"
19-Oct,"2,170,885"
19-Nov,"2,143,505"
19-Dec,"2,180,537"
20-Jan,"2,114,709"
20-Feb,"1,969,691"
20-Mar,"1,531,801"
20-Apr,"916,575"
20-May,"1,261,837"
20-Jun,"1,410,602"
20-Jul,"1,588,286"
20-Aug,"1,719,003"
20-Sep,"1,693,880"
20-Oct,"1,599,347"
20-Nov,"1,485,176"
20-Dec,"1,474,674"
21-Jan,"1,310,806"
21-Feb,"1,278,091"
21-Mar,"1,691,282"
21-Apr,"1,866,232"
21-May,"2,075,542"
21-Jun,"2,157,132"
21-Jul,"2,160,128"
21-Aug,"2,035,967"
21-Sep,"2,127,204"
21-Oct,"2,164,802"
21-Nov,"2,037,955"
21-Dec,"1,874,642"
22-Jan,"1,875,202"
22-Feb,"1,825,363"
22-Mar,"2,174,798"
22-Apr,"2,028,796"
22-May,"2,233,053"
22-Jun,"2,191,691"
22-Jul,"2,181,655"
22-Aug,"1,995,679"
22-Sep,"2,008,489"
22-Oct,"2,188,028"
22-Nov,"2,178,804"
22-Dec,"2,294,079"
23-Jan,"1,968,338"
23-Feb,"1,914,279"
23-Mar,"2,165,951"
23-Apr,"2,034,040"
23-May,"2,245,919"
23-Jun,"2,225,726"
23-Jul,"2,199,787"
23-Aug,"2,109,861"
23-Sep,"2,170,046"
23-Oct,"2,224,320"
23-Nov,"2,167,584"
23-Dec,"2,184,918"
24-Jan,"2,230,825"
24-Feb,"2,157,822"
24-Mar,"2,370,221"
24-Apr,"2,240,668"
24-May,"2,416,292"
24-Jun,"2,294,065"
24-Jul,"2,324,832"
24-Aug,"2,160,791"
24-Sep,"2,214,217"
24-Oct,"2,360,536"
24-Nov,"2,314,998"
24-Dec,"2,345,934"
25-Jan,"2,218,130"
25-Feb,"2,088,071"
25-Mar,"2,389,064"
25-Apr,"2,295,820"
25-May,"2,395,886"
25-Jun,"2,350,478"
25-Jul,"2,407,884"
